sku;serial_number;inventory_number;location;status;customer_name;contract_number;reserved_until;responsible_person;notes
RTR-CISCO-4331;FTX2601A01;INV-RTR-0001;Основной склад;available;;;;;Свободный маршрутизатор для проверки резерва из карточки
RTR-CISCO-4331;FTX2601A02;INV-RTR-0002;Основной склад;reserved;ООО Север-Телеком;Д-2026-014;2026-08-31;;Должен быть закреплен под договором и недоступен другим заказчикам
RTR-CISCO-4331;FTX2601A03;INV-RTR-0003;Лаборатория;lab;;;2026-06-30;Иванов И.И.;Передан на диагностику, ожидается возврат
SW-CISCO-2960X;FOC1931X01;INV-SW-0001;Основной склад;available;;;;;Свободный коммутатор
SW-CISCO-2960X;FOC1931X02;INV-SW-0002;Основной склад;reserved;АО МедиаСеть;Д-2026-018;2026-07-15;;Закреплен под заказчика по договору
SW-CISCO-2960X;FOC1931X03;INV-SW-0003;Зона выдачи;available;;;;;Готов к выдаче инженеру
SRV-HPE-DL380;MXQ1234A01;INV-SRV-0001;Основной склад;available;;;;;Сервер свободен
SRV-HPE-DL380;MXQ1234A02;INV-SRV-0002;Основной склад;reserved;ООО ДатаЦентр Плюс;Д-2026-031;2026-09-30;;Сервер закреплен под конкретный договор
SRV-HPE-DL380;MXQ1234A03;INV-SRV-0003;Лаборатория;needs_check;;;2026-06-20;Петров П.П.;После возврата требуется проверка
RTR-CISCO-4331;FTX2509Z99;INV-RTR-OLD;Основной склад;available;ЗАО Старый Клиент;Д-2025-044;2026-04-30;;Пример оборудования после истекшего договора, можно переиспользовать после проверки
